iter	RMSE
0	6.017316732
1	5.825237286
2	5.643037805
3	5.469646104
4	5.294205926
5	5.139437941
6	4.987856413
7	4.843841308
8	4.700637441
9	4.573314388
10	4.455517134
11	4.326661628
12	4.20829987
13	4.103331179
14	3.993569401
15	3.884502362
16	3.793582893
17	3.695916604
18	3.61038321
19	3.522917658
20	3.440369715
21	3.355696051
22	3.276392186
23	3.205082755
24	3.132642784
25	3.064997232
26	3.005546141
27	2.948687763
28	2.888202121
29	2.843954728
30	2.789959682
31	2.737124877
32	2.691088697
33	2.648224421
34	2.607562277
35	2.564751797
36	2.530066982
37	2.492748718
38	2.456233441
39	2.423770905
40	2.391393328
41	2.361169482
42	2.335941987
43	2.308985711
44	2.286603084
45	2.262488568
46	2.237442919
47	2.215486729
48	2.193428917
49	2.175859618
50	2.156743036
51	2.13913518
52	2.123745744
53	2.106086371
54	2.089041889
55	2.076843905
56	2.062887128
57	2.051421727
58	2.037577642
59	2.026724934
60	2.016065656
61	2.004805319
62	1.995444232
63	1.985921907
64	1.976353947
65	1.966438543
66	1.959453717
67	1.952899871
68	1.944756738
69	1.936590448
70	1.930605913
71	1.923084418
72	1.917351355
73	1.911772091
74	1.903335162
75	1.897269124
76	1.89092476
77	1.885258692
78	1.879800996
79	1.872924001
80	1.867231904
81	1.862540851
82	1.85763603
83	1.853968094
84	1.849686063
85	1.843992435
86	1.839671965
87	1.835632202
88	1.832892736
89	1.828775329
90	1.825249933
91	1.821872536
92	1.818043866
93	1.814166938
94	1.809999034
95	1.80694659
96	1.801187329
97	1.796485656
98	1.793125468
99	1.790253385
100	1.787145314
101	1.784156174
102	1.7821009
103	1.778634279
104	1.775447427
105	1.771585216
106	1.769176549
107	1.766487111
108	1.761807985
109	1.759258846
110	1.756413105
111	1.754405279
112	1.751747052
113	1.748813674
114	1.747301823
115	1.743610004
116	1.741546518
117	1.7390065
118	1.736461986
119	1.732563566
120	1.730357132
121	1.728186063
122	1.725387973
123	1.722758637
124	1.721407354
125	1.717064695
126	1.713485631
127	1.710344686
128	1.705937468
129	1.703162963
130	1.700708485
131	1.698203096
132	1.694435185
133	1.692622373
134	1.68877229
135	1.686611282
136	1.68367874
137	1.681095301
138	1.678234598
139	1.676844395
140	1.673807756
141	1.67252066
142	1.669411289
143	1.666770274
144	1.664107957
145	1.662689208
146	1.660025215
147	1.656826339
148	1.654416064
149	1.65188661
150	1.648601452
151	1.647002618
152	1.644661025
153	1.643167284
154	1.639891759
155	1.637427863
156	1.635841574
157	1.633297348
158	1.62987175
159	1.627239428
160	1.62435867
161	1.622133215
162	1.620469507
163	1.61693859
164	1.614173401
165	1.612664269
166	1.61053984
167	1.607830925
168	1.606194201
169	1.604722108
170	1.602373944
171	1.600357344
172	1.598827491
173	1.596841021
174	1.59437037
175	1.591338963
176	1.589561347
177	1.588170454
178	1.586000704
179	1.584648233
180	1.583194534
181	1.580741206
182	1.578517576
183	1.575234474
184	1.571606623
185	1.569624311
186	1.568177162
187	1.564485353
188	1.562537841
189	1.559169037
190	1.557469971
191	1.554896908
192	1.553039872
193	1.550541077
194	1.549226975
195	1.546294105
196	1.543957442
197	1.541501269
198	1.539502042
199	1.537355704
200	1.534930545
201	1.533190754
202	1.531139492
203	1.528004303
204	1.526076445
205	1.523060898
206	1.521546936
207	1.519429376
208	1.516864879
209	1.515996544
210	1.513919983
211	1.511926718
212	1.509668905
213	1.50845829
214	1.507200785
215	1.505025007
216	1.502939831
217	1.500125603
218	1.497967321
219	1.495884888
220	1.49283538
221	1.491031558
222	1.48870999
223	1.486472358
224	1.485498528
225	1.483432304
226	1.481600021
227	1.480104373
228	1.478881484
229	1.477633076
230	1.475556224
231	1.474259244
232	1.472726297
233	1.470185174
234	1.467714778
235	1.466474915
236	1.464119642
237	1.461832301
238	1.459671001
239	1.458537016
240	1.457038917
241	1.454323998
242	1.451393993
243	1.449627147
244	1.447295688
245	1.445319391
246	1.443832251
247	1.442254933
248	1.440440643
249	1.43925631
250	1.437100829
251	1.435797255
252	1.434770883
253	1.432977071
254	1.430740022
255	1.427762673
256	1.425025059
257	1.423246137
258	1.421727559
259	1.419902417
260	1.418434836
261	1.416397417
262	1.413231072
263	1.411132539
264	1.409519622
265	1.40808711
266	1.406000372
267	1.403591388
268	1.401453174
269	1.399070947
270	1.397202747
271	1.395833036
272	1.394047172
273	1.391523489
274	1.389453226
275	1.388364179
276	1.385995707
277	1.385214189
278	1.383243101
279	1.381240978
280	1.379603952
281	1.377163109
282	1.375767797
283	1.374100245
284	1.37284978
285	1.371337907
286	1.369870034
287	1.368266083
288	1.366438426
289	1.364746404
290	1.362113444
291	1.359676463
292	1.35744718
293	1.355844123
294	1.354215584
295	1.352722625
296	1.350073585
297	1.347849117
298	1.346107317
299	1.345044593
300	1.343662659
301	1.341562875
302	1.340010032
303	1.338313455
304	1.336298374
305	1.335200659
306	1.333499053
307	1.331200408
308	1.328514258
309	1.327333073
310	1.325912659
311	1.32410876
312	1.322854097
313	1.321953858
314	1.320172411
315	1.317487481
316	1.315759775
317	1.314624717
318	1.31295673
319	1.311566778
320	1.309933973
321	1.308240926
322	1.307026084
323	1.305897731
324	1.303498416
325	1.302200219
326	1.300332626
327	1.297557251
328	1.295258486
329	1.293789888
330	1.291627025
331	1.289842737
332	1.288741497
333	1.286813246
334	1.28527828
335	1.283076794
336	1.280746794
337	1.279111266
338	1.277512546
339	1.27647053
340	1.274594284
341	1.27353889
342	1.272053668
343	1.27066857
344	1.269126402
345	1.267485611
346	1.265925154
347	1.264037613
348	1.262317816
349	1.260935774
350	1.259564357
351	1.258142638
352	1.256522915
353	1.254635521
354	1.252533812
355	1.251517765
356	1.250088382
357	1.248643267
358	1.247239211
359	1.24636308
360	1.245216075
361	1.243484095
362	1.241860727
363	1.240223897
364	1.239162547
365	1.237465856
366	1.234897491
367	1.233394065
368	1.232715287
369	1.230328614
370	1.229531473
371	1.228536595
372	1.22639912
373	1.22541093
374	1.223989275
375	1.221282946
376	1.219467242
377	1.218245393
378	1.216726742
379	1.214492557
380	1.21357614
381	1.211941294
382	1.210760219
383	1.209621056
384	1.20884132
385	1.20714392
386	1.205294243
387	1.204406605
388	1.203512653
389	1.202153722
390	1.200747767
391	1.199492183
392	1.198599527
393	1.197991748
394	1.196789748
395	1.195766739
396	1.194642155
397	1.193097284
398	1.191588007
399	1.190016569
400	1.188930251
401	1.187662476
402	1.185953383
403	1.184868626
404	1.183792991
405	1.18175592
406	1.180245422
407	1.178480488
408	1.176772641
409	1.175400274
410	1.174253957
411	1.173471198
412	1.172719597
413	1.171144944
414	1.170347919
415	1.167996643
416	1.167057382
417	1.166117067
418	1.164808849
419	1.162491015
420	1.161008957
421	1.160036615
422	1.158816606
423	1.157254914
424	1.155787023
425	1.154158282
426	1.152827343
427	1.150729021
428	1.14933324
429	1.148513468
430	1.147860537
431	1.147072157
432	1.145829364
433	1.144870915
434	1.144101218
435	1.141924115
436	1.141059764
437	1.139616642
438	1.137895121
439	1.136769081
440	1.135421486
441	1.133791618
442	1.132574922
443	1.131585194
444	1.130160982
445	1.128616611
446	1.127559536
447	1.126327401
448	1.125327535
449	1.123774347
450	1.122614077
451	1.121392739
452	1.120104326
453	1.118615541
454	1.117197167
455	1.11592919
456	1.114877929
457	1.113603821
458	1.112295133
459	1.11078236
460	1.109870935
461	1.108502424
462	1.107465178
463	1.106353011
464	1.105417737
465	1.104895917
466	1.104067657
467	1.102723132
468	1.101039689
469	1.098785178
470	1.097422239
471	1.096362793
472	1.095115354
473	1.093832606
474	1.091941202
475	1.090782141
476	1.089458454
477	1.08756571
478	1.08652019
479	1.085179679
480	1.083068459
481	1.081110658
482	1.079767558
483	1.0785981
484	1.077169794
485	1.07619944
486	1.0752005
487	1.07324107
488	1.072332852
489	1.070954704
490	1.070242487
491	1.068588383
492	1.067877275
493	1.066780591
494	1.065909112
495	1.064155392
496	1.063349717
497	1.061971751
498	1.060484466
499	1.059110006
500	1.057948401
501	1.05653914
502	1.055253328
503	1.05471646
504	1.053594572
505	1.052471237
506	1.051462776
507	1.049524641
508	1.048922229
509	1.047820375
510	1.046559148
511	1.04496103
512	1.043715111
513	1.042556311
514	1.041803584
515	1.040727093
516	1.039442181
517	1.038478942
518	1.037059651
519	1.035427789
520	1.034859181
521	1.033295766
522	1.03240767
523	1.030334084
524	1.029102046
525	1.028001907
526	1.026849734
527	1.025747532
528	1.024719557
529	1.02415913
530	1.022859117
531	1.02146741
532	1.020319991
533	1.018615509
534	1.017400785
535	1.016231198
536	1.01474425
537	1.013628035
538	1.012285628
539	1.011577885
540	1.009781088
541	1.008681342
542	1.007355818
543	1.006234124
544	1.004573641
545	1.003442925
546	1.002064685
547	1.001237237
548	1.000381383
549	0.9991179262
550	0.9975291757
551	0.9963995033
552	0.9951278051
553	0.9941292723
554	0.9925072984
555	0.9915018154
556	0.990923718
557	0.9898622289
558	0.9887514116
559	0.9872402375
560	0.9858164286
561	0.9849705021
562	0.9832235038
563	0.9817949934
564	0.9810132742
565	0.9796957109
566	0.9787027673
567	0.9759937345
568	0.9750145574
569	0.9739887114
570	0.9726718248
571	0.9717502201
572	0.9708871587
573	0.9694810066
574	0.9680369576
575	0.9666342417
576	0.9649804843
577	0.9644552499
578	0.9636754331
579	0.9620572399
580	0.9612903379
581	0.96043057
582	0.9598351213
583	0.9592207608
584	0.9578448513
585	0.9568128895
586	0.9561518408
587	0.9556845664
588	0.9547554933
589	0.9537820541
590	0.9526572138
591	0.9513381656
592	0.950846547
593	0.9498647097
594	0.9489604829
595	0.9472499576
596	0.9464941078
597	0.9454974602
598	0.9448659983
599	0.9442394188
600	0.9435920227
601	0.9426936102
602	0.941511964
603	0.9402131499
604	0.9391823286
605	0.938583081
606	0.9371795256
607	0.936228681
608	0.934691438
609	0.9339147379
610	0.9327054998
611	0.9317191875
612	0.9310112755
613	0.9296841218
614	0.929026136
615	0.9277938308
616	0.9272201167
617	0.9256201669
618	0.9244112454
619	0.9232046414
620	0.922239187
621	0.9216453851
622	0.9211624043
623	0.9202113694
624	0.9186345456
625	0.917412306
626	0.9165654805
627	0.91543797
628	0.9145474892
629	0.9135365062
630	0.9116798246
631	0.9110993018
632	0.9100338561
633	0.9094691467
634	0.9083013815
635	0.9071328613
636	0.9061436796
637	0.9050872596
638	0.9043636462
639	0.9034653478
640	0.9022577905
641	0.9012519899
642	0.9002264298
643	0.8990348887
644	0.8985207609
645	0.8980085576
646	0.8969186248
647	0.8959008283
648	0.8953433619
649	0.8949299851
650	0.8938581294
651	0.8934286036
652	0.8927369684
653	0.8914525038
654	0.8905030516
655	0.8899801975
656	0.8885002575
657	0.8876660444
658	0.8866340107
659	0.8853728471
660	0.8844096074
661	0.8839150308
662	0.8831746447
663	0.8821532545
664	0.8814752158
665	0.880718831
666	0.8797309264
667	0.8791135456
668	0.8783492449
669	0.8777642775
670	0.8769824471
671	0.8759452088
672	0.8750421345
673	0.8740686291
674	0.8737029967
675	0.8727273696
676	0.8718384138
677	0.8703926006
678	0.8693713494
679	0.8688350504
680	0.8680511035
681	0.8674363143
682	0.8667940466
683	0.8660501435
684	0.8650411254
685	0.864195319
686	0.8632943827
687	0.862262191
688	0.8615991024
689	0.8607853675
690	0.8596257324
691	0.8588726505
692	0.8578118771
693	0.8568053051
694	0.855778557
695	0.853603487
696	0.8528581338
697	0.8513914645
698	0.8500891845
699	0.8494515118
700	0.8489904158
701	0.8478237579
702	0.8472808124
703	0.846699732
704	0.845696249
705	0.8449829539
706	0.8442291539
707	0.8429540727
708	0.8420162419
709	0.8411403997
710	0.8402597307
711	0.8393769843
712	0.8390531699
713	0.8379356161
714	0.8363141116
715	0.8352917368
716	0.8343730868
717	0.8335883597
718	0.832689323
719	0.8322087156
720	0.8317458587
721	0.830568737
722	0.8297411367
723	0.8286895216
724	0.8274482936
725	0.8267326623
726	0.8254041662
727	0.8249044034
728	0.8239325642
729	0.8231492535
730	0.822710806
731	0.8224335889
732	0.8216464735
733	0.8208468995
734	0.8201665695
735	0.8195643561
736	0.817862269
737	0.8167605238
738	0.815979478
739	0.8150381438
740	0.8142854117
741	0.8132517784
742	0.8123182477
743	0.8114819484
744	0.8102211791
745	0.8095831104
746	0.8087979007
747	0.807374599
748	0.8062941916
749	0.8053934826
750	0.804501081
751	0.8037294942
752	0.8028933933
753	0.8016403833
754	0.80074612
755	0.8000031345
756	0.7991703313
757	0.7982018573
758	0.7973621266
759	0.7962242601
760	0.7951841383
761	0.7942904869
762	0.7934291147
763	0.7926917435
764	0.7916652361
765	0.7907012905
766	0.7898765258
767	0.7891541399
768	0.7880197224
769	0.7870000167
770	0.7859958046
771	0.7851397957
772	0.7846471047
773	0.7839395973
774	0.7833076716
775	0.7827371112
776	0.7819493248
777	0.7810107404
778	0.7803888861
779	0.779547237
780	0.778991325
781	0.7783777776
782	0.7772907202
783	0.7761933075
784	0.775279699
785	0.7747027768
786	0.7739252235
787	0.772863208
788	0.772290037
789	0.771410919
790	0.7707407826
791	0.7699428645
792	0.7691216745
793	0.7686223121
794	0.7681029956
795	0.7672372805
796	0.7662241111
797	0.7653027973
798	0.7646469663
799	0.7639706545
800	0.7631221775
801	0.7625184768
802	0.7620263875
803	0.7611098554
804	0.7599481969
805	0.7585607449
806	0.7580021964
807	0.757532036
808	0.7565641735
809	0.7556637382
810	0.7550130283
811	0.7538264239
812	0.7528177382
813	0.7521197633
814	0.7514459597
815	0.7504956463
816	0.7496052167
817	0.7486438605
818	0.7479493341
819	0.747190119
820	0.7456462722
821	0.7448785937
822	0.744266673
823	0.7435760922
824	0.7424162643
825	0.7412323656
826	0.740488717
827	0.7398875513
828	0.7391509318
829	0.7381877455
830	0.7374654796
831	0.7366387696
832	0.7355037367
833	0.7350552225
834	0.7342724696
835	0.7337493772
836	0.7329162316
837	0.7320289198
838	0.7310826712
839	0.7303788989
840	0.729751415
841	0.7292684193
842	0.7286520153
