iter	Passed	Remaining
0	148	148309
1	150	75121
2	152	50723
3	154	38527
4	156	31118
5	158	26218
6	159	22593
7	161	19971
8	162	17934
9	164	16296
10	166	14958
11	168	13848
12	170	12924
13	172	12117
14	173	11416
15	175	10803
16	177	10261
17	179	9777
18	180	9344
19	183	8968
20	184	8619
21	186	8296
22	188	8005
23	190	7736
24	192	7488
25	193	7257
26	195	7045
27	197	6865
28	199	6682
29	201	6509
30	203	6348
31	204	6197
32	206	6056
33	208	5921
34	210	5795
35	212	5683
36	214	5570
37	215	5464
38	217	5353
39	219	5259
40	220	5169
41	222	5082
42	224	4999
43	226	4926
44	228	4851
45	230	4777
46	232	4706
47	233	4639
48	235	4575
49	237	4513
50	239	4459
51	241	4404
52	243	4347
53	245	4295
54	246	4243
55	248	4192
56	250	4136
57	251	4089
58	253	4047
59	255	4007
60	257	3967
61	259	3926
62	261	3887
63	263	3847
64	264	3810
65	266	3773
66	268	3741
67	270	3707
68	272	3674
69	274	3641
70	275	3609
71	277	3577
72	279	3547
73	281	3518
74	283	3499
75	285	3474
76	287	3447
77	289	3423
78	291	3399
79	293	3374
80	295	3350
81	297	3329
82	299	3312
83	301	3292
84	303	3269
85	305	3246
86	307	3225
87	309	3204
88	311	3188
89	313	3169
90	315	3149
91	317	3128
92	318	3109
93	320	3090
94	322	3071
95	324	3053
96	326	3040
97	328	3023
98	330	3006
99	332	2989
100	333	2972
101	335	2956
102	337	2940
103	339	2924
104	341	2912
105	343	2897
106	345	2882
107	347	2867
108	349	2853
109	350	2839
110	352	2825
111	354	2812
112	356	2799
113	358	2786
114	360	2773
115	362	2760
116	364	2748
117	365	2735
118	367	2722
119	369	2713
120	371	2701
121	373	2689
122	375	2677
123	377	2664
124	379	2653
125	380	2641
126	382	2631
127	384	2622
128	386	2611
129	388	2600
130	390	2589
131	392	2579
132	394	2568
133	395	2558
134	397	2547
135	400	2541
136	401	2531
137	403	2520
138	405	2511
139	407	2502
140	409	2492
141	410	2482
142	412	2474
143	414	2465
144	416	2456
145	418	2447
146	420	2438
147	421	2429
148	423	2420
149	425	2411
150	427	2405
151	429	2397
152	431	2388
153	433	2379
154	435	2371
155	436	2363
156	438	2354
157	440	2346
158	442	2340
159	444	2333
160	446	2324
161	447	2316
162	449	2309
163	451	2301
164	453	2293
165	454	2285
166	457	2280
167	459	2273
168	461	2266
169	462	2260
170	464	2252
171	466	2245
172	468	2238
173	470	2231
174	472	2226
175	474	2220
176	476	2214
177	478	2207
178	480	2201
179	481	2195
180	483	2189
181	486	2185
182	488	2179
183	490	2173
184	492	2167
185	493	2161
186	495	2155
187	497	2149
188	499	2143
189	501	2139
190	503	2133
191	505	2127
192	507	2121
193	509	2116
194	511	2110
195	513	2104
196	515	2100
197	517	2095
198	519	2089
199	520	2083
200	522	2077
201	524	2071
202	526	2065
203	527	2060
204	529	2054
205	531	2049
206	533	2043
207	535	2037
208	536	2032
209	538	2026
210	540	2020
211	542	2015
212	544	2012
213	546	2007
214	548	2001
215	550	1996
216	551	1991
217	553	1985
218	555	1980
219	557	1975
220	559	1973
221	561	1968
222	564	1966
223	566	1961
224	568	1956
225	569	1951
226	571	1947
227	574	1943
228	575	1938
229	577	1934
230	579	1929
231	581	1923
232	582	1918
233	584	1914
234	586	1910
235	588	1905
236	590	1900
237	592	1896
238	594	1892
239	596	1887
240	597	1882
241	599	1878
242	601	1874
243	603	1870
244	605	1865
245	607	1861
246	609	1856
247	610	1852
248	612	1847
249	614	1843
250	616	1840
251	618	1836
252	620	1832
253	622	1828
254	624	1824
255	626	1819
256	628	1815
257	630	1812
258	632	1808
259	633	1803
260	635	1799
261	637	1795
262	639	1790
263	640	1786
264	642	1782
265	644	1779
266	646	1775
267	648	1771
268	650	1767
269	652	1763
270	654	1759
271	655	1755
272	657	1751
273	659	1748
274	661	1744
275	663	1740
276	665	1735
277	666	1731
278	668	1727
279	670	1724
280	672	1720
281	674	1717
282	676	1713
283	678	1709
284	679	1705
285	681	1701
286	683	1697
287	685	1694
288	687	1690
289	689	1688
290	691	1684
291	693	1681
292	695	1677
293	697	1673
294	698	1670
295	700	1666
296	702	1663
297	704	1659
298	706	1656
299	708	1652
300	709	1648
301	711	1645
302	713	1641
303	715	1637
304	718	1636
305	720	1633
306	721	1629
307	723	1626
308	725	1622
309	727	1619
310	729	1615
311	731	1612
312	733	1610
313	735	1606
314	737	1603
315	739	1599
316	740	1596
317	742	1592
318	744	1589
319	747	1587
320	749	1584
321	751	1581
322	752	1578
323	754	1574
324	756	1571
325	758	1567
326	760	1565
327	762	1563
328	765	1560
329	767	1557
330	768	1553
331	770	1550
332	772	1547
333	774	1544
334	776	1541
335	778	1537
336	780	1534
337	781	1531
338	783	1528
339	785	1524
340	787	1521
341	789	1518
342	791	1515
343	793	1512
344	795	1510
345	797	1507
346	799	1504
347	801	1501
348	804	1500
349	806	1497
350	808	1495
351	810	1492
352	812	1489
353	814	1486
354	816	1484
355	819	1481
356	821	1478
357	823	1475
358	824	1473
359	826	1470
360	828	1467
361	830	1464
362	833	1462
363	835	1460
364	837	1457
365	839	1454
366	841	1451
367	843	1448
368	845	1446
369	847	1443
370	849	1440
371	851	1437
372	853	1435
373	855	1432
374	857	1429
375	859	1426
376	861	1424
377	863	1421
378	865	1418
379	867	1416
380	870	1413
381	872	1411
382	874	1409
383	877	1406
384	879	1404
385	881	1401
386	883	1399
387	885	1396
388	887	1394
389	890	1392
390	892	1389
391	894	1387
392	896	1384
393	898	1381
394	900	1378
395	902	1376
396	904	1374
397	907	1372
398	909	1369
399	911	1367
400	913	1364
401	915	1362
402	918	1360
403	920	1357
404	922	1355
405	924	1353
406	927	1350
407	929	1348
408	931	1345
409	933	1343
410	935	1340
411	937	1338
412	940	1336
413	942	1333
414	944	1331
415	946	1329
416	948	1326
417	950	1323
418	953	1321
419	955	1319
420	957	1317
421	960	1315
